,video_id,comment_text,likes,replies,polarity
0,XpVt6Z1Gjjo,Logan Paul it's yo big day ‼️‼️‼️,4,0,0.0
1,XpVt6Z1Gjjo,I've been following you from the start of your vine channel and have seen all 365 vlogs,3,0,0.0
2,XpVt6Z1Gjjo,Say hi to Kong and maverick for me,3,0,0.0
3,XpVt6Z1Gjjo,MY FAN . attendance,3,0,0.0
4,XpVt6Z1Gjjo,trending 😉,3,0,0.0
5,XpVt6Z1Gjjo,#1 on trending AYYEEEEE,3,0,0.0
6,XpVt6Z1Gjjo,The end though 😭👍🏻❤️,4,0,0.0
7,XpVt6Z1Gjjo,#1 trending!!!!!!!!!,3,0,0.0
8,XpVt6Z1Gjjo,Happy one year vlogaversary,3,0,0.8
9,XpVt6Z1Gjjo,You and your shit brother may have single handedly ruined YouTube.....thanks...,0,0,-0.13571428571428573
10,XpVt6Z1Gjjo,There should be a mini Logan Paul too!,0,0,0.0
11,XpVt6Z1Gjjo,"Dear Logan, I really wanna get your Merch but I don't have the money. We don't even have a Car. It would really make my day to have any of your merch",0,0,0.2
12,XpVt6Z1Gjjo,Honestly Evan is so annoying. Like its not funny watching him try to be famous he's trying way to hard and I don't like it,0,0,-0.023333333333333352
13,XpVt6Z1Gjjo,Casey is still better then logan,0,0,0.5
14,XpVt6Z1Gjjo,aw geez rick this guy is the face of YouTube.,0,0,0.0
15,XpVt6Z1Gjjo,He happy cause he in a movie,0,0,0.8
16,XpVt6Z1Gjjo,"Ayyyyoooo Logang what up .  This was a hard vlog to watch Logan how dare are you to destroyed that YouTube bag . Logang Army check my covers and share them  can Logang help me to hit 1,000 Subscribers today, I think we can do it SUBSCRIBE",1,0,-0.2916666666666667
17,XpVt6Z1Gjjo,Bro y didnt u give merch to johannes he is ur boy 2,0,0,0.0
18,XpVt6Z1Gjjo,It's been fun watching you grow. I'm at 42 days straight and can't seem to grow. Any advice?,3,0,0.25
19,XpVt6Z1Gjjo,Made a lot of people hate youtube - GJ,0,0,-0.8
20,XpVt6Z1Gjjo,NO HONEY NOOO can't believe he has almost 12 mili in a year damnn,0,0,0.0
21,XpVt6Z1Gjjo,Jake Paul is the fastest growing channel to hit 10 Million and thats a fact and is u dont want to believe that then just dab away,1,0,0.0
22,XpVt6Z1Gjjo,"lol PEWDIEPIE accidentally played song with words nig%%r during his stream, u can watch that part on my channel, i've just uploaded. Like so more ppl could see this",0,0,0.65
23,XpVt6Z1Gjjo,You should do a prank that you broke  your play puttun,0,0,0.0
24,XpVt6Z1Gjjo,I love Logan and Jake so much and thay are so amazing and I look up to them so much 😍💋💙👍,1,0,0.375
